row_id,status,error,post_clarify_exact,post_clarify_reach,post_clarify_wp,post_clarify_lb,exact_match_any_candidate,c1_exact,c1_reach,c1_wp,c1_lb,c2_exact,c2_reach,c2_wp,c2_lb,c3_exact,c3_reach,c3_wp,c3_lb,winner_exact,winner_reach,winner_wp,winner_lb,fc_exact,fc_reach,fc_wp,fc_lb,n_clarify_rounds,n_clarify_questions,n_ecs,n_selection_rounds,n_verification_ecs,time_clarify_s,time_generate_s,time_select_s,time_verify_s,clarified_intent,pipeline_dir
1435,done,,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,1,3,3,5,3,10.18,111.12,100.55,91.26,"100.0.9.0/24 is accessible from sofia. Routing traffic between sofia and 100.0.9.0/24 goes via rotterdam. Distribute traffic across 4 paths. Strasbourg needs to reach 100.0.29.0/24. The same connectivity requirements apply to the other subnets as well. The route from strasbourg to 100.0.29.0/24 includes a router associated with the waypoint to London. Make sure there's redundancy. Bratislava should connect to 100.0.4.0/24, and similar routing should be used for related traffic. Use 4 paths for Bratislava for reliability.",results/experiments/2026-04-29_06-59-06/1435/2026-04-29_06-59-06
1436,done,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,2,3,4,,7.36,120.94,50.81,,Traffic from Paris to 100.0.1.0/24 is evenly distributed across 2 paths. Use Kiev as an intermediate hop if available for traffic from Paris to 100.0.1.0/24. Sofia can reach 100.0.1.0/24. The route from London to 100.0.4.0/24 includes Basel. Ensure fault tolerance with multiple routes.,results/experiments/2026-04-29_06-59-06/1436/2026-04-29_07-04-27
1437,done,,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,1,2,3,9,3,7.67,47.03,55.34,56.76,"Traffic originating from Kiev can reach the subnet 100.0.9.0/24. Load balance the traffic appropriately with 2 paths for Kiev, 3 paths for Istanbul, and 2 paths for Milan. Istanbul can reach 100.0.29.0/24. Use London as an intermediate hop if available. Connect Milan to 100.0.1.0/24. The path between Milan and 100.0.1.0/24 involves Kiev. Ensure fault tolerance with multiple routes.",results/experiments/2026-04-29_06-59-06/1437/2026-04-29_07-07-32
1438,done,,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,False,1,4,2,3,,10.87,43.43,37.79,,"Connectivity from lyon to 100.0.4.0/24 is established. To reach 100.0.4.0/24 from lyon, traffic is directed through basel. zurich and 100.0.1.0/24 need connectivity. Consider routing through kiev. Traffic originating from luxembourg can reach the subnet 100.0.29.0/24. Route through london if possible. Distribute traffic across available paths: 2 paths for Lyon (100.0.4.0/24), 3 paths for Zurich (100.0.1.0/24), and 2 paths for Luxembourg (100.0.29.0/24).",results/experiments/2026-04-29_06-59-06/1438/2026-04-29_07-10-25
1439,done,,False,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,1,3,3,5,,9.73,39.32,41.79,,Connect the router named praha to the destination subnet 100.0.29.0/24. Use the router named london as an intermediate hop if available. The number of paths between praha and 100.0.29.0/24 should be 3. The router named madrid needs to reach the subnet 100.0.9.0/24. The same connectivity requirements apply to the other subnets as well. Ensure good redundancy. The router named barcelona can reach the main subnet 100.0.9.0/24. Consider routing through the unspecified router in rotterdam.,results/experiments/2026-04-29_06-59-06/1439/2026-04-29_07-12-05
1440,done,,False,True,True,False,True,False,True,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,False,1,2,1,0,,10.43,41.38,19.36,,The subnet 100.0.29.0/24 is reachable from Lyon. Use London as an intermediate hop if available. Traffic from Lyon to the target subnet 100.0.29.0/24 is evenly distributed across 2 paths. Warsaw can reach the target subnet 100.0.29.0/24. Routing traffic between Warsaw and 100.0.29.0/24 goes via London. Make sure there's redundancy. Brussels and the subnet 100.0.29.0/24 should be connected. Route through London if possible. The number of paths between Brussels and 100.0.29.0/24 should be 2.,results/experiments/2026-04-29_06-59-06/1440/2026-04-29_07-13-43
1441,done,,False,True,False,True,True,False,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,1,4,3,3,,12.46,54.28,36.35,,"Connect london to 100.0.9.0/24. Connect bratislava to 100.0.1.0/24. Route through kiev if possible. Use multiple paths for reliability. Connect basel to 100.0.9.0/24. Traffic from basel to 100.0.9.0/24 passes through rotterdam. Load balance the traffic appropriately with 3 paths from london to 100.0.9.0/24, 2 paths from bratislava to 100.0.1.0/24, and 2 paths from basel to 100.0.9.0/24.",results/experiments/2026-04-29_06-59-06/1441/2026-04-29_07-15-01
1442,done,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,3,3,10,,6.45,45.47,48.91,,Connectivity from Paris to 100.0.9.0/24 is established. Ensure fault tolerance with multiple routes. Basel and 100.0.29.0/24 need connectivity. Traffic should go through London when feasible. Distribute traffic across available paths. Ensure connectivity between Athens and 100.0.9.0/24. Load balance the traffic appropriately using 2 paths.,results/experiments/2026-04-29_06-59-06/1442/2026-04-29_07-16-52
1443,done,,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,1,2,3,7,,6.23,90.53,99.26,,Traffic originating from Athens can reach the subnet 100.0.1.0/24. Routing traffic between Athens and 100.0.1.0/24 goes via Kiev. Load balance the traffic appropriately. Ensure Paris can access 100.0.4.0/24. Apply the same policy to other relevant connections. Use Basel as an intermediate hop if available. Use multiple paths for reliability. Connectivity from Roma to the subnet 100.0.9.0/24 is established. Distribute traffic across available paths.,results/experiments/2026-04-29_06-59-06/1443/2026-04-29_07-18-40
1444,done,,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,True,True,True,0,0,1,0,,3.89,46.15,15.23,,Connectivity from marseille to 100.0.1.0/24 is established. The path between marseille and 100.0.1.0/24 involves kiev. Traffic from marseille to 100.0.1.0/24 is evenly distributed across 2 paths. Traffic originating from frankfurt can reach the subnet 100.0.1.0/24. The path between frankfurt and 100.0.1.0/24 involves kiev. Load balance the traffic appropriately. Zurich can reach 100.0.29.0/24. Route through london if possible. The number of paths between zurich and 100.0.29.0/24 should be 5.,results/experiments/2026-04-29_06-59-06/1444/2026-04-29_07-22-05
