row_id,Original High Level Intent,Correct Formal Specification,Ambiguous High Level Intent,Ambiguity Types Applied
1425,"The subnet 100.0.29.0/24 is reachable from athens.
Routing traffic between athens and 100.0.29.0/24 goes via london.
To reach 100.0.29.0/24 from athens, traffic should be split across 3 paths.
strasbourg can reach 100.0.1.0/24.
The path between strasbourg and 100.0.1.0/24 involves kiev.
To reach 100.0.1.0/24 from strasbourg, traffic should be split across 2 paths.
100.0.4.0/24 is accessible from luxembourg.
The route from luxembourg to 100.0.4.0/24 includes basel.
Traffic from luxembourg to 100.0.4.0/24 should be load-balanced across 4 paths.","{""reachability"": {""athens"": [""100.0.29.0/24""], ""strasbourg"": [""100.0.1.0/24""], ""luxembourg"": [""100.0.4.0/24""]}, ""waypoint"": {""(athens,100.0.29.0/24)"": [""london""], ""(strasbourg,100.0.1.0/24)"": [""kiev""], ""(luxembourg,100.0.4.0/24)"": [""basel""]}, ""loadbalancing"": {""(athens,100.0.29.0/24)"": 3, ""(strasbourg,100.0.1.0/24)"": 2, ""(luxembourg,100.0.4.0/24)"": 4}}","Ensure connectivity between athens and our servers.
Route through london if possible.
Make sure there's redundancy.
strasbourg needs to reach 100.0.1.0/24.. The same connectivity requirements apply to the other subnets as well.
Consider routing through kiev.
luxembourg needs to reach the remote network. The same connectivity requirements apply to the other subnets as well.
The route from luxembourg to the remote network includes basel.
Traffic from luxembourg to the remote network should be load-balanced across 4 paths.",VAGUE_REF; BIDIR; SOFT_WP; SOFT_LB; MERGE; OMIT
1426,"Connectivity from frankfurt to 100.0.29.0/24 is established.
Traffic from frankfurt to 100.0.29.0/24 passes through london.
The number of paths between frankfurt and 100.0.29.0/24 should be 2.
zurich can reach 100.0.9.0/24.
The route from zurich to 100.0.9.0/24 includes rotterdam.
To reach 100.0.9.0/24 from zurich, traffic should be split across 3 paths.
Traffic originating from luxembourg can reach the subnet 100.0.1.0/24.
To reach 100.0.1.0/24 from luxembourg, traffic is directed through kiev.
To reach 100.0.1.0/24 from luxembourg, traffic is balanced on 4 paths.","{""reachability"": {""frankfurt"": [""100.0.29.0/24""], ""zurich"": [""100.0.9.0/24""], ""luxembourg"": [""100.0.1.0/24""]}, ""waypoint"": {""(frankfurt,100.0.29.0/24)"": [""london""], ""(zurich,100.0.9.0/24)"": [""rotterdam""], ""(luxembourg,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(frankfurt,100.0.29.0/24)"": 2, ""(zurich,100.0.9.0/24)"": 3, ""(luxembourg,100.0.1.0/24)"": 4}}","Connectivity from frankfurt to 100.0.29.0/24 is established.
Traffic from frankfurt to 100.0.29.0/24 passes through london.
zurich and 100.0.9.0/24. should be connected.
The route from zurich to 100.0.9.0/24 includes rotterdam.
Distribute traffic across available paths.
Connect luxembourg to 100.0.1.0/24..
Use multiple paths for reliability.",OMIT; BIDIR; SOFT_LB
1427,"vienna can reach 100.0.1.0/24.
Traffic from vienna to 100.0.1.0/24 passes through kiev.
Traffic from vienna to 100.0.1.0/24 should be load-balanced across 2 paths.
100.0.9.0/24 is accessible from istanbul.
The path between istanbul and 100.0.9.0/24 involves rotterdam.
To reach 100.0.9.0/24 from istanbul, traffic should be split across 2 paths.
100.0.29.0/24 is accessible from kiev.
The route from kiev to 100.0.29.0/24 includes london.
Traffic from kiev to 100.0.29.0/24 is evenly distributed across 3 paths.","{""reachability"": {""vienna"": [""100.0.1.0/24""], ""istanbul"": [""100.0.9.0/24""], ""kiev"": [""100.0.29.0/24""]}, ""waypoint"": {""(vienna,100.0.1.0/24)"": [""kiev""], ""(istanbul,100.0.9.0/24)"": [""rotterdam""], ""(kiev,100.0.29.0/24)"": [""london""]}, ""loadbalancing"": {""(vienna,100.0.1.0/24)"": 2, ""(istanbul,100.0.9.0/24)"": 2, ""(kiev,100.0.29.0/24)"": 3}}","Ensure connectivity between vienna and 100.0.1.0/24..
Preferably route via kiev.
100.0.9.0/24 is accessible from istanbul.
Make sure there's redundancy.
the target subnet is accessible from kiev.
Route through london if possible.
Traffic from kiev to the target subnet is evenly distributed across 3 paths.",BIDIR; SOFT_WP; OMIT; SOFT_LB; VAGUE_REF
1428,"Connectivity from budapest to 100.0.29.0/24 is established.
The route from budapest to 100.0.29.0/24 includes london.
Traffic from budapest to 100.0.29.0/24 is evenly distributed across 3 paths.
The subnet 100.0.29.0/24 is reachable from rotterdam.
The path between rotterdam and 100.0.29.0/24 involves london.
To reach 100.0.29.0/24 from rotterdam, traffic is balanced on 2 paths.
The subnet 100.0.1.0/24 is reachable from geneva.
Routing traffic between geneva and 100.0.1.0/24 goes via kiev.
The number of paths between geneva and 100.0.1.0/24 should be 5.","{""reachability"": {""budapest"": [""100.0.29.0/24""], ""rotterdam"": [""100.0.29.0/24""], ""geneva"": [""100.0.1.0/24""]}, ""waypoint"": {""(budapest,100.0.29.0/24)"": [""london""], ""(rotterdam,100.0.29.0/24)"": [""london""], ""(geneva,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(budapest,100.0.29.0/24)"": 3, ""(rotterdam,100.0.29.0/24)"": 2, ""(geneva,100.0.1.0/24)"": 5}}","Connectivity from budapest to 100.0.29.0/24 is established.
Consider routing through london.
Ensure fault tolerance with multiple routes.
Ensure connectivity between rotterdam and 100.0.29.0/24.
The path between rotterdam and 100.0.29.0/24 involves london.
To reach 100.0.29.0/24 from rotterdam, traffic is balanced on 2 paths.
geneva and the destination network should be connected.
Routing traffic between geneva and the destination network goes via kiev.
The number of paths between geneva and the destination network should be 5.",SOFT_WP; SOFT_LB; BIDIR; VAGUE_REF
1429,"The subnet 100.0.9.0/24 is reachable from lyon.
Traffic from lyon to 100.0.9.0/24 passes through rotterdam.
Traffic from lyon to 100.0.9.0/24 should be load-balanced across 6 paths.
Traffic originating from roma can reach the subnet 100.0.29.0/24.
To reach 100.0.29.0/24 from roma, traffic is directed through london.
Traffic from roma to 100.0.29.0/24 is evenly distributed across 2 paths.
Traffic originating from brussels can reach the subnet 100.0.1.0/24.
Routing traffic between brussels and 100.0.1.0/24 goes via kiev.
To reach 100.0.1.0/24 from brussels, traffic should be split across 4 paths.","{""reachability"": {""lyon"": [""100.0.9.0/24""], ""roma"": [""100.0.29.0/24""], ""brussels"": [""100.0.1.0/24""]}, ""waypoint"": {""(lyon,100.0.9.0/24)"": [""rotterdam""], ""(roma,100.0.29.0/24)"": [""london""], ""(brussels,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(lyon,100.0.9.0/24)"": 6, ""(roma,100.0.29.0/24)"": 2, ""(brussels,100.0.1.0/24)"": 4}}","The subnet the main subnet is reachable from lyon.
Route through rotterdam if possible.
Make sure there's redundancy.
Traffic originating from roma can reach the subnet 100.0.29.0/24.
Ensure good redundancy.
Connect brussels to 100.0.1.0/24..
Routing traffic between brussels and 100.0.1.0/24 goes via kiev.
Ensure fault tolerance with multiple routes.",VAGUE_REF; SOFT_WP; SOFT_LB; BIDIR
1430,"Connectivity from bucharest to 100.0.1.0/24 is established.
To reach 100.0.1.0/24 from bucharest, traffic is directed through kiev.
Traffic from bucharest to 100.0.1.0/24 is evenly distributed across 2 paths.
Traffic originating from marseille can reach the subnet 100.0.9.0/24.
Traffic from marseille to 100.0.9.0/24 passes through rotterdam.
Traffic from marseille to 100.0.29.0/24 should be load-balanced across 4 paths.
The subnet 100.0.9.0/24 is reachable from frankfurt.
The path between frankfurt and 100.0.9.0/24 involves rotterdam.
The number of paths between frankfurt and 100.0.9.0/24 should be 2.","{""reachability"": {""bucharest"": [""100.0.1.0/24""], ""marseille"": [""100.0.9.0/24""], ""frankfurt"": [""100.0.9.0/24""]}, ""waypoint"": {""(bucharest,100.0.1.0/24)"": [""kiev""], ""(marseille,100.0.9.0/24)"": [""rotterdam""], ""(frankfurt,100.0.9.0/24)"": [""rotterdam""]}, ""loadbalancing"": {""(bucharest,100.0.1.0/24)"": 2, ""(marseille,100.0.29.0/24)"": 4, ""(frankfurt,100.0.9.0/24)"": 2}}","Connectivity from bucharest to 100.0.1.0/24 is established.
To reach 100.0.1.0/24 from bucharest, traffic is directed through kiev.
Traffic from bucharest to 100.0.1.0/24 is evenly distributed across 2 paths.
Traffic originating from marseille can reach the subnet that network
Traffic from marseille to 100.0.9.0/24 passes through rotterdam.
The subnet 100.0.9.0/24 is reachable from frankfurt.
Use rotterdam as intermediate hop if available.
Distribute traffic across available paths.",VAGUE_REF; SOFT_WP; SOFT_LB
1431,"The subnet 100.0.4.0/24 is reachable from geneva.
To reach 100.0.4.0/24 from geneva, traffic is directed through basel.
The number of paths between geneva and 100.0.4.0/24 should be 3.
Connectivity from rotterdam to 100.0.4.0/24 is established.
To reach 100.0.4.0/24 from rotterdam, traffic is directed through basel.
Traffic from rotterdam to 100.0.4.0/24 is evenly distributed across 3 paths.
100.0.1.0/24 is accessible from barcelona.
To reach 100.0.1.0/24 from barcelona, traffic is directed through kiev.
To reach 100.0.1.0/24 from barcelona, traffic should be split across 3 paths.","{""reachability"": {""geneva"": [""100.0.4.0/24""], ""rotterdam"": [""100.0.4.0/24""], ""barcelona"": [""100.0.1.0/24""]}, ""waypoint"": {""(geneva,100.0.4.0/24)"": [""basel""], ""(rotterdam,100.0.4.0/24)"": [""basel""], ""(barcelona,100.0.1.0/24)"": [""kiev""]}, ""loadbalancing"": {""(geneva,100.0.4.0/24)"": 3, ""(rotterdam,100.0.4.0/24)"": 3, ""(barcelona,100.0.1.0/24)"": 3}}","Connect geneva to 100.0.4.0/24.
The number of paths between geneva and 100.0.4.0/24 should be 3.
Connectivity from rotterdam to 100.0.4.0/24 is established.
Consider routing through basel.
Load balance the traffic appropriately.
barcelona and 100.0.1.0/24 should be connected.
To reach 100.0.1.0/24 from barcelona, traffic is directed through kiev.
Make sure there's redundancy.",BIDIR; OMIT; SOFT_WP; SOFT_LB
1432,"The subnet 100.0.9.0/24 is reachable from vienna.
The route from vienna to 100.0.9.0/24 includes rotterdam.
The number of paths between vienna and 100.0.9.0/24 should be 3.
Traffic originating from praha can reach the subnet 100.0.4.0/24.
The path between praha and 100.0.4.0/24 involves basel.
To reach 100.0.4.0/24 from praha, traffic should be split across 2 paths.
Connectivity from paris to 100.0.29.0/24 is established.
The path between paris and 100.0.29.0/24 involves london.
To reach 100.0.9.0/24 from paris, traffic is balanced on 2 paths.","{""reachability"": {""vienna"": [""100.0.9.0/24""], ""praha"": [""100.0.4.0/24""], ""paris"": [""100.0.29.0/24""]}, ""waypoint"": {""(vienna,100.0.9.0/24)"": [""rotterdam""], ""(praha,100.0.4.0/24)"": [""basel""], ""(paris,100.0.29.0/24)"": [""london""]}, ""loadbalancing"": {""(vienna,100.0.9.0/24)"": 3, ""(praha,100.0.4.0/24)"": 2, ""(paris,100.0.9.0/24)"": 2}}","The subnet 100.0.9.0/24 is reachable from vienna.
Route through rotterdam if possible.
Make sure there's redundancy.
Ensure praha can access 100.0.4.0/24.. Apply the same policy to other relevant connections.
Use multiple paths for reliability.
Ensure paris can access the target subnet. Apply the same policy to other relevant connections.
Traffic should go through london when feasible.",SOFT_WP; SOFT_LB; MERGE; OMIT; VAGUE_REF
1433,"The subnet 100.0.4.0/24 is reachable from kiev.
The path between kiev and 100.0.4.0/24 involves basel.
To reach 100.0.4.0/24 from kiev, traffic is balanced on 2 paths.
Traffic originating from budapest can reach the subnet 100.0.4.0/24.
Routing traffic between budapest and 100.0.4.0/24 goes via basel.
The number of paths between budapest and 100.0.4.0/24 should be 4.
The subnet 100.0.4.0/24 is reachable from amsterdam.
Traffic from amsterdam to 100.0.4.0/24 passes through basel.
Traffic from amsterdam to 100.0.4.0/24 should be load-balanced across 7 paths.","{""reachability"": {""kiev"": [""100.0.4.0/24""], ""budapest"": [""100.0.4.0/24""], ""amsterdam"": [""100.0.4.0/24""]}, ""waypoint"": {""(kiev,100.0.4.0/24)"": [""basel""], ""(budapest,100.0.4.0/24)"": [""basel""], ""(amsterdam,100.0.4.0/24)"": [""basel""]}, ""loadbalancing"": {""(kiev,100.0.4.0/24)"": 2, ""(budapest,100.0.4.0/24)"": 4, ""(amsterdam,100.0.4.0/24)"": 7}}","The subnet 100.0.4.0/24 is reachable from kiev.
Route through basel if possible.
Distribute traffic across available paths.
budapest and the main subnet need connectivity.
Routing traffic between budapest and 100.0.4.0/24 goes via basel.
Use multiple paths for reliability.
The subnet 100.0.4.0/24 is reachable from amsterdam.
Consider routing through basel.
Use multiple paths for reliability.",SOFT_WP; SOFT_LB; VAGUE_REF; BIDIR
1434,"100.0.29.0/24 is accessible from madrid.
The path between madrid and 100.0.29.0/24 involves london.
The number of paths between madrid and 100.0.9.0/24 should be 2.
Connectivity from barcelona to 100.0.29.0/24 is established.
The path between barcelona and 100.0.29.0/24 involves london.
Traffic from barcelona to 100.0.9.0/24 is evenly distributed across 2 paths.
100.0.4.0/24 is accessible from warsaw.
Routing traffic between warsaw and 100.0.4.0/24 goes via basel.
Traffic from warsaw to 100.0.4.0/24 is evenly distributed across 2 paths.","{""reachability"": {""madrid"": [""100.0.29.0/24""], ""barcelona"": [""100.0.29.0/24""], ""warsaw"": [""100.0.4.0/24""]}, ""waypoint"": {""(madrid,100.0.29.0/24)"": [""london""], ""(barcelona,100.0.29.0/24)"": [""london""], ""(warsaw,100.0.4.0/24)"": [""basel""]}, ""loadbalancing"": {""(madrid,100.0.9.0/24)"": 2, ""(barcelona,100.0.9.0/24)"": 2, ""(warsaw,100.0.4.0/24)"": 2}}","madrid and the remote network should be connected.
The path between madrid and the remote network involves london.
Ensure barcelona can access 100.0.29.0/24. Apply the same policy to other relevant connections.
Route through london if possible.
Connect warsaw to our servers.
Use basel as intermediate hop if available.
Traffic from warsaw to our servers is evenly distributed across 2 paths.",VAGUE_REF; BIDIR; MERGE; SOFT_WP
